cid,project_id,file_name,author,title,description,date_taken,rights
bafkreia46f5ew2gxkqwzpcwasinmbccggtz4zoscqeywam2tspbnznesrm,manzanar,10_adams_farm_workers.jpg,,,,,
bafkreiaegdngljegpl4hktgbdeq6hxgcymip2oigvwp26jmtgugm2wipc4,manzanar,02_manzanar_riot_reference.md,,,,,
bafkreiaeyomjurrc7vbreh7z5fccenpehw256we6chufushpi7hywdwijm,manzanar,"July 2, 1942 — Manzanar Relocation Center, Manzanar, California. Mealtime in one of the messhalls at this War Relocation Authority center for evacuees of Japanese ancestry..webp",,,,,
bafkreiafetlwkvjuxj24xkjiwob6ec53v7e7ija4xhlikk64kc7k2vfzqi,densho-ee292j,ddr-manz-2-63_front.jpg,,,,,
bafkreiak6nufcli4spiounlgzgxo5kal5cxk7r3lo554g6stfz5b63iuke,manzanar,13_adams_nurse_aiko.jpg,,,,,
bafkreialaszu4sywsdtmupccocbty2a6pq7phwqhpxxpgg6ewi4vheinri,manzanar,04_adams_street_barracks.jpg,,,,,
bafkreiaoutgnslral7gr7skpyyhsi3nbwpf33b2ob6i5fsom3zobj3zw4i,densho-ee292j,ddr-manz-2-45_front_back.jpg,,,,,
bafkreiarog4nuvshdlf5xeznn6jyxaijxmhxusos6ouq3tysye7zd2mfou,manzanar,DOCUMENT_MANIFEST.txt,,,,,
bafkreibkjcrmfeiat7qgyj3fvmqx66ro5fuxqyfe7ehrrycyjz26mzhtiy,manzanar,05_lange_dust_storm.jpg,,,,,
bafkreibsoqtyws7hwdy2bydpsosz5ygf5bab3x55ysawlg422qqdxx32lq,manzanar,07_adams_cemetery_monument.jpg,,,,,
bafkreibvph6hz5y432xoj626g43ntpo4q3dmqlubfw4cqeknpdrtb47j7y,densho-ee292j,ddr-manz-2-66_front_back.jpg,,,,,
bafkreibxwv2sdjshx52pprrbs5jpkl2wjmfiyjjv4or43icztxs34w2wwa,manzanar,06_adams_mt_williamson.jpg,,,,,
bafkreic23zaelnqaxwakxns2f5g4gq74zkmwpm7tdexlnki2ygz5qvr2wq,densho-ee292j,ddr-manz-2-44_front.jpg,,,,,
bafkreic6g6qxmdipubmdymtcjqmxhtkubyyrewxbp5jqosk5gfgiuxrolq,manzanar,quote_bank.txt,,,,,
bafkreicbo5n3krnafvi43nrfa6vwgmfl3grn7gaslhb3hxm75shm7fhpnu,densho-ee292j,ddr-manz-2-45_thumb.jpg,,,,,
bafkreice3rpzqgyl3sqopzfva5rr22saclb2hlr7rusalz4lks7qtwsaai,manzanar,embrey_interview_seg01_densho.mp4,,,,,
bafkreicfmtnp4xttlvxsriary5zgdv32uafsnkppj25x2pn7zknmkurkde,manzanar,07_densho_registry_evidence.html,,,,,
bafkreichdzcvjotwnafaycorzje6hbvmo722cfhvyw5iafydi7qc6fwxnu,manzanar,far_microfilm_p249_wakatsuki.jpg,,,,,
bafkreichicwt67ziwgd3eihomvbhqbfx5aamyo2gvbu4lxtn7h4g66y4iu,manzanar,VIDEO_MANIFEST.txt,,,,,
bafkreicoerzrsdoav3bqjevuiysbefpalahwgmwabcczapbw6t6avfrudq,manzanar,MAP_MANIFEST.txt,,,,,
bafkreicwj4qma5x5mnfwghji6w2c6uabyycc4mvkno426mkfsjbdhtmy3a,manzanar,manzanar_wrc_independence_footage.mp4,,,,,
bafkreicwlk5kfxdpvpc5gjavco5hu6a77opxhifhgrgo5icdixnajf6nvq,densho-ee292j,densho.wacz,,,,,
bafkreid7jyb6droe7vv3iobg7dqh2hzkydsokjsjpnngdp4apgu3lhxjfe,manzanar,manzanar_home_movies_1944.mp4,,,,,
bafkreidbhednczk3zxp6fnhspxnammtg654vwvks7mo4rerhdg4wanxzpq,densho-ee292j,ddr-manz-2-65_front.jpg,,,,,
bafkreidgzzx557t7hn2ehrfdpjfmliotvwzqg4kwtpilvw7sp7fe6k5e4a,densho-ee292j,ddr-manz-2-66_thumb.jpg,,,,,
bafkreidkrsiefnn6hwzzvnljgm5phvsufwqw6hsuos6afocyhwbc3axlqq,manzanar,04_npmaps_block_layout.gif,,,,,
bafkreidreg534vjqgowmawe2ssipgagkv6mbxez37jjijsh2cxzlimncem,manzanar,09_adams_baseball.jpg,,,,,
bafkreidtrjwtnn56xl3o4qrbpaxmygdrhzzigrt6eioythnzy6ut55s2pe,densho-ee292j,ddr-manz-2-45_front.jpg,,,,,
bafkreie2gd5ib2yoz3y3c5ol7h22lztoyo7iqgandomjdgc7s5a2ldlibi,densho-ee292j,ddr-manz-2-66_front.jpg,,,,,
bafkreie2ymoeo7tg3irzniwopa3xu3glygxwieork6e5rzw2sczllxznfe,manzanar,06_wra_form26_authentication_records.md,,,,,
bafkreie33dizevz3j2mo2264rbu2dppp3tc5ynd2ylo6k7tsuybvc37ocy,manzanar,lange_manzanar_quarters_mt_whitney.jpg,,,,,
bafkreie3dfpt7h53s76talbecdoolbki6ebgx7ils7jndshme2nougwndq,densho-ee292j,ddr-manz-2-44_front_back.jpg,,,,,
bafkreiejj3mbzdgzgsymi66u2iztuk2wh3heaf4j7o6teoh4i35eaxzvya,manzanar,17_adams_street_scene_clouds.jpg,Ansel Adams,Camp Street Scene with Clouds,Ansel Adams photograph of a camp street scene with dramatic cloud formations.,1943,Public domain / Library of Congress
